titulo,calificacion,imagen,descripcion,precio
Capitán América: Brave New World,6.1 (41K),"https://m.media-amazon.com/images/M/MV5BNDRjY2E0ZmEtN2QwNi00NTEwLWI3MWItODNkMGYwYWFjNGE0XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",Una película imperdible con una historia cautivadora.,8.99€
El abismo secreto,6.8 (36K),"https://m.media-amazon.com/images/M/MV5BOTQ5Y2QyYTktYmFmZi00NWJlLWE0MzgtYTA4M2I0ZjQwZjcxXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",Una película imperdible con una historia cautivadora.,13.99€
Thunderbolts*,N/A,"https://m.media-amazon.com/images/M/MV5BZjhjZmIwZWEtMDEzYi00MzJlLTk4OWYtNDAzY2Q4NDc5OWZmXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",Una película imperdible con una historia cautivadora.,13.99€
Nosferatu,7.3 (153K),"https://m.media-amazon.com/images/M/MV5BNGUzY2Y0ZmItZDE4Ny00OGE2LWI0MjQtNzY2YjRmNTRkMTZiXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",Una película imperdible con una historia cautivadora.,16.99€
Bridget Jones: Loca por él,6.8 (7.9K),"https://m.media-amazon.com/images/M/MV5BMDdlY2Y2ZWEtYjk4Mi00Yjg3LWFlM2MtMWI1ZjVlNGQ5NTNjXkEyXkFqcGc@._V1_QL75_UX140_CR0,7,140,207_.jpg",Una película imperdible con una historia cautivadora.,20.99€
Anora,7.7 (98K),"https://m.media-amazon.com/images/M/MV5BNmE0NGQ5NmUtNWY3OS00MjRjLTgyZTYtNWY3Y2E3YTEzYzg0XkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg",Una película imperdible con una historia cautivadora.,18.99€
The Brutalist,7.9 (30K),"https://m.media-amazon.com/images/M/MV5BNTMyYzNiZjEtZTM3NC00OGRkLTkzMjEtZGI2NDcwZTk5NmNhXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",Una película imperdible con una historia cautivadora.,9.99€
La acompañante,7.2 (25K),"https://m.media-amazon.com/images/M/MV5BNjQyMjNiMDEtOTFlNy00NmI3LTljMzctNDU5ZDI3N2EzNDFmXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",Una película imperdible con una historia cautivadora.,5.99€
Cómo entrenar a tu dragón,N/A,"https://m.media-amazon.com/images/M/MV5BOGU0ZWYzZmUtZDM5Yi00NjJlLTllNTctY2NiZWVkOTIzM2JlXkEyXkFqcGc@._V1_QL75_UX140_CR0,7,140,207_.jpg",Una película imperdible con una historia cautivadora.,12.99€
La sustancia,7.3 (251K),"https://m.media-amazon.com/images/M/MV5BMWJkMzMyZmYtMjc1NC00ODBlLWJjMzUtZWJhMDc4NjVkYzU4XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg",Una película imperdible con una historia cautivadora.,5.99€
Algo embarazada,4.9 (11K),"https://m.media-amazon.com/images/M/MV5BYzA3Mjc0NTEtMjYyMS00OWNmLTg3MmYtN2E3MDNkMWQ4NjI0XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",Una película imperdible con una historia cautivadora.,20.99€
Jurassic World: El renacer,N/A,"https://m.media-amazon.com/images/M/MV5BYjlmODRkM2YtMDAxOS00ZTA5LTgyYWYtZWI2NjRjMzRkODU0XkEyXkFqcGc@._V1_QL75_UX140_CR0,7,140,207_.jpg",Una película imperdible con una historia cautivadora.,16.99€
Heart Eyes,6.6 (5.3K),"https://m.media-amazon.com/images/M/MV5BZDA4ZjVmM2MtYWJlNC00OTE5LThlOWQtYjQ4Yjg1ODg5MTE4XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",Una película imperdible con una historia cautivadora.,12.99€
The order (la hermandad silenciosa),6.8 (29K),"https://m.media-amazon.com/images/M/MV5BZWIxOGQyYjYtOGEwOC00YWNjLWJmNTktZjJlM2RmNTdjMmVlXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",Una película imperdible con una historia cautivadora.,13.99€
Los 4 Fantásticos: Primeros pasos,N/A,"https://m.media-amazon.com/images/M/MV5BOWMyMDk5MjAtNDM4Mi00Y2Y3LTg3YTktNzk3NjAxNDc2OTdmXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg",Una película imperdible con una historia cautivadora.,9.99€
Aún estoy aquí,8.8 (75K),"https://m.media-amazon.com/images/M/MV5BMmVkNGM0YmEtOGMxZS00OGQzLWE3MmEtZGFkNDdjMjY1Y2ViXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg",Una película imperdible con una historia cautivadora.,15.99€
¡Estáis cordialmente invitados!,5.5 (20K),"https://m.media-amazon.com/images/M/MV5BMGM3MzQwMWItNjM2Ny00NTkwLThkZWMtZmNiYTlhMGZlN2JhXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",Una película imperdible con una historia cautivadora.,19.99€
Babygirl,6.0 (39K),"https://m.media-amazon.com/images/M/MV5BMTU0YjAxOTctMzY3MC00M2Q2LTlhMDItZDk0YjhjMzViYWU0XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg",Una película imperdible con una historia cautivadora.,14.99€
Nezha: Mo tong nao hai,8.3 (5K),"https://m.media-amazon.com/images/M/MV5BZWE5ODNkYjctYTllZi00YmEyLThhZGYtMjIxNTBmZGU1Y2M0XkEyXkFqcGc@._V1_QL75_UY207_CR4,0,140,207_.jpg",Una película imperdible con una historia cautivadora.,19.99€
Cónclave,7.4 (100K),"https://m.media-amazon.com/images/M/MV5BNGJiMzU2M2MtMjMyNC00YmFmLTljYjgtNWIzNDI5ZjE2YjZjXkEyXkFqcGc@._V1_QL75_UY207_CR2,0,140,207_.jpg",Una película imperdible con una historia cautivadora.,15.99€
Emilia Pérez,5.5 (72K),"https://m.media-amazon.com/images/M/MV5BNDMzMmQ4YzMtNWY2NS00MThjLWI3YzctZTVjNGRiNmU4YTkyXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg",Una película imperdible con una historia cautivadora.,5.99€
Gladiator II,6.6 (201K),"https://m.media-amazon.com/images/M/MV5BMjIxODZlM2EtODU5Ny00OTFkLTgyNjAtNzNmMWJkNmRhZjZkXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",Una película imperdible con una historia cautivadora.,15.99€
A Complete Unknown,7.6 (32K),"https://m.media-amazon.com/images/M/MV5BYTA2NTA5NDYtMzlkOC00MTQxLWI0NDQtMzk2M2YzMGE4MTkxXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",Una película imperdible con una historia cautivadora.,8.99€
Culpa Mía: Londres,6.2 (3.3K),"https://m.media-amazon.com/images/M/MV5BNjhhYmU4Y2QtMTUyOC00ODA5LWI3NWItNmVlYWY3NzU0ZDBjXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg",Una película imperdible con una historia cautivadora.,17.99€
Este amor sí que duele,5.4 (3.4K),"https://m.media-amazon.com/images/M/MV5BZDg3Yjc2ZmQtZjliYi00MjIwLWEwZDgtMjFkMzE2ZmYyMjM0XkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg",Una película imperdible con una historia cautivadora.,20.99€
